src,dst,type,label
13128,65557,226,concept:athleteflyouttosportsteamposition_inv
72819,72832,207,concept:producesproduct
5,68437,399,concept:agentbelongstoorganization_inv
24167,11911,1,concept:worksfor
23474,118,57,concept:personbelongstoorganization
6364,6366,57,concept:personbelongstoorganization
42883,42884,309,concept:bookwriter
396,699,49,concept:personborninlocation
55921,55890,110,concept:itemfoundinroom_inv
46531,46562,321,concept:emotionassociatedwithdisease
27140,1679,23,concept:atlocation
816,31951,72,concept:touristattractionsuchastouristattraction_inv
2430,2552,39,concept:bodypartcontainsbodypart
4398,4956,169,concept:hasofficeincity
61217,22089,244,concept:actorstarredinmovie_inv
35276,26,398,concept:leaguestadiums_inv
45200,45468,312,concept:academicprogramatuniversity_inv
1333,624,9,concept:atdate
33678,1524,257,concept:hotelincity
51668,51373,135,concept:professionistypeofprofession
564,2090,16,concept:mutualproxyfor_inv
9241,645,9,concept:atdate
64760,64759,386,concept:athletebeatathlete_inv
13089,20734,207,concept:producesproduct
14279,51004,163,concept:organizationacronymhasname
1531,62233,128,concept:musicianplaysinstrument_inv
29023,1895,83,concept:organizationheadquarteredincity
70165,2563,1,concept:worksfor
52517,52601,109,concept:itemfoundinroom
24222,699,49,concept:personborninlocation
28574,28580,7,concept:subpartof
31648,816,71,concept:touristattractionsuchastouristattraction
5716,17391,372,concept:newspaperincity_inv
16261,1068,9,concept:atdate
8366,8365,26,concept:agentcollaborateswithagent_inv
42984,42915,44,concept:agentcreated_inv
241,68623,378,concept:politicianusmemberofpoliticalgroup_inv
56203,13852,16,concept:mutualproxyfor_inv
74624,1362,9,concept:atdate
36662,4196,16,concept:mutualproxyfor_inv
69380,1129,173,concept:persondiedincountry
10548,64927,184,concept:athletehomestadium_inv
41967,41861,293,concept:conceptprerequisiteof
65667,40667,157,concept:athleteplaysforteam
42447,4402,295,concept:sportschoolincountry
21768,21767,120,concept:hashusband_inv
3,362,399,concept:agentbelongstoorganization_inv
1208,3017,4,concept:proxyfor_inv
38,40230,96,concept:subpartoforganization_inv
699,13803,48,concept:personbornincity_inv
574,265,14,concept:agentparticipatedinevent_inv
645,23074,10,concept:atdate_inv
68953,68954,97,concept:agentcontributedtocreativework
69682,59275,383,concept:visualartistartform
10682,843,202,concept:personleadsgeopoliticalorganization_inv
42851,14154,310,concept:bookwriter_inv
691,28026,4,concept:proxyfor_inv
44477,44478,309,concept:bookwriter
170,70193,28,concept:personleadsorganization_inv
57845,57848,333,concept:drugworkedonbyagent
7957,7956,12,concept:latitudelongitude_inv
39426,4086,238,concept:teamplaysagainstteam_inv
1430,10624,10,concept:atdate_inv
61414,61415,134,concept:personalsoknownas_inv
576,76,23,concept:atlocation
76,576,24,concept:atlocation_inv
330,455,96,concept:subpartoforganization_inv
870,13635,24,concept:atlocation_inv
43439,43252,309,concept:bookwriter
365,4892,24,concept:atlocation_inv
49821,50195,250,concept:chemicalistypeofchemical_inv
68053,59175,374,concept:politicianusendorsedbypoliticianus_inv
564,46819,4,concept:proxyfor_inv
20559,48471,231,concept:agriculturalproductcookedwithagriculturalproduct
2826,2827,25,concept:agentcollaborateswithagent
66355,60,159,concept:athleteplaysinleague
26720,4885,23,concept:atlocation
1774,32622,15,concept:mutualproxyfor
4095,14000,12,concept:latitudelongitude_inv
7402,625,9,concept:atdate
48875,14982,75,concept:animalistypeofanimal
10336,625,9,concept:atdate
347,71389,25,concept:agentcollaborateswithagent
691,8941,4,concept:proxyfor_inv
45342,45383,315,concept:academicfieldsuchasacademicfield
649,10999,4,concept:proxyfor_inv
4087,59296,188,concept:athleteplayssportsteamposition_inv
65069,20853,155,concept:athleteplayssport
49566,6831,197,concept:arthropodandotherarthropod
624,74745,10,concept:atdate_inv
17643,699,47,concept:personbornincity
34601,36098,215,concept:citylocatedingeopoliticallocation
895,9082,44,concept:agentcreated_inv
3,476,37,concept:agentcontrols
28698,28690,52,concept:agentactsinlocation_inv
71566,71443,29,concept:topmemberoforganization
15,18891,30,concept:topmemberoforganization_inv
42710,44764,310,concept:bookwriter_inv
1069,28528,10,concept:atdate_inv
45915,744,311,concept:academicprogramatuniversity
16251,636,9,concept:atdate
49753,73922,336,concept:musicartistgenre_inv
10693,2119,13,concept:agentparticipatedinevent
62837,62838,99,concept:personhasjobposition
12,1355,9,concept:atdate
39477,39513,238,concept:teamplaysagainstteam_inv
31145,1895,269,concept:televisionstationincity
64893,26,159,concept:athleteplaysinleague
13346,13348,224,concept:ceoof_inv
49894,49832,250,concept:chemicalistypeofchemical_inv
816,4134,72,concept:touristattractionsuchastouristattraction_inv
1074,27319,31,concept:organizationhiredperson
9408,8789,7,concept:subpartof
50205,21873,249,concept:chemicalistypeofchemical
52046,51968,248,concept:clothingtogowithclothing_inv
18025,3646,75,concept:animalistypeofanimal
20007,637,9,concept:atdate
59636,62716,56,concept:persondiedatage_inv
1370,21,32,concept:organizationhiredperson_inv
54323,48944,330,concept:agriculturalproductcomingfromvertebrate_inv
1772,7,95,concept:subpartoforganization
45427,745,311,concept:academicprogramatuniversity
26098,26012,110,concept:itemfoundinroom_inv
2234,146,48,concept:personbornincity_inv
625,33062,10,concept:atdate_inv
1459,1355,9,concept:atdate
62532,574,13,concept:agentparticipatedinevent
40154,39525,157,concept:athleteplaysforteam
72414,8990,21,concept:companyeconomicsector
18290,18289,12,concept:latitudelongitude_inv
4402,908,9,concept:atdate
5225,53984,368,concept:weaponmadeincountry_inv
7280,7277,44,concept:agentcreated_inv
29169,61903,190,concept:musicianinmusicartist_inv
10423,1208,18,concept:locationlocatedwithinlocation_inv
28744,68473,102,concept:politicianholdsoffice_inv
149,4158,43,concept:agentcreated
36569,36568,266,concept:cityalsoknownas_inv
19033,6996,143,concept:thinghascolor
37265,6091,121,concept:citylocatedinstate
1937,24792,14,concept:agentparticipatedinevent_inv
29916,589,89,concept:buildinglocatedincity
19354,645,9,concept:atdate
1708,51494,138,concept:professionusestool_inv
71305,71558,224,concept:ceoof_inv
59175,12032,373,concept:politicianusendorsedbypoliticianus
7465,7434,108,concept:competeswith_inv
717,23074,10,concept:atdate_inv
4895,11562,24,concept:atlocation_inv
6703,564,3,concept:proxyfor
12737,26760,14,concept:agentparticipatedinevent_inv
21935,21934,12,concept:latitudelongitude_inv
47339,47210,255,concept:bacteriaisthecausativeagentofphysiologicalcondition
27298,718,7,concept:subpartof
45342,45436,315,concept:academicfieldsuchasacademicfield
8286,8285,12,concept:latitudelongitude_inv
35611,26,398,concept:leaguestadiums_inv
4695,41548,84,concept:organizationheadquarteredincity_inv
9130,9127,118,concept:fooddecreasestheriskofdisease_inv
3981,7577,108,concept:competeswith_inv
23024,857,9,concept:atdate
1068,21049,10,concept:atdate_inv
49573,6831,206,concept:animalthatfeedoninsect_inv
39565,13825,181,concept:teamplayssport
165,38732,18,concept:locationlocatedwithinlocation_inv
22903,4452,23,concept:atlocation
67405,85,0,concept:agentbelongstoorganization
17876,12648,113,concept:invertebratefeedonfood
52045,52008,247,concept:clothingtogowithclothing
993,996,101,concept:politicianholdsoffice
20812,29551,51,concept:agentactsinlocation
39027,39026,12,concept:latitudelongitude_inv
35472,60768,184,concept:athletehomestadium_inv
1844,28331,207,concept:producesproduct
35825,10942,265,concept:cityalsoknownas
57582,47523,333,concept:drugworkedonbyagent
46703,46661,304,concept:hobbiessuchashobbies_inv
19624,19623,162,concept:hassibling_inv
36515,691,15,concept:mutualproxyfor
7922,25858,28,concept:personleadsorganization_inv
18145,15266,7,concept:subpartof
56166,699,17,concept:locationlocatedwithinlocation
7369,7370,200,concept:arthropodcalledarthropod_inv
32856,38711,122,concept:citylocatedinstate_inv
718,17029,8,concept:subpartof_inv
634,56581,46,concept:attractionofcity_inv
59936,64530,382,concept:directordirectedmovie_inv
17377,48783,77,concept:animalpreyson
49185,48437,350,concept:fishservedwithfood_inv
62141,1531,127,concept:musicianplaysinstrument
65640,20853,155,concept:athleteplayssport
39,21580,13,concept:agentparticipatedinevent
49147,3239,350,concept:fishservedwithfood_inv
870,4855,4,concept:proxyfor_inv
39581,699,177,concept:teamplaysincity
34946,34947,219,concept:airportincity
746,4781,18,concept:locationlocatedwithinlocation_inv
60961,60960,100,concept:personhasjobposition_inv
59231,4290,101,concept:politicianholdsoffice
50066,9335,327,concept:drughassideeffect
637,10597,10,concept:atdate_inv
17447,35482,24,concept:atlocation_inv
73160,4703,169,concept:hasofficeincity
960,7469,107,concept:competeswith
14693,20482,231,concept:agriculturalproductcookedwithagriculturalproduct
11305,1142,117,concept:fooddecreasestheriskofdisease
859,5476,10,concept:atdate_inv
40495,37583,177,concept:teamplaysincity
53164,1472,367,concept:weaponmadeincountry
13227,13229,9,concept:atdate
1955,651,35,concept:agentinvolvedwithitem
24542,39672,130,concept:organizationheadquarteredinstateorprovince_inv
21873,50120,249,concept:chemicalistypeofchemical
43697,43503,309,concept:bookwriter
66708,20853,155,concept:athleteplayssport
9106,43,38,concept:agentcontrols_inv
732,8504,50,concept:personborninlocation_inv
3812,6561,87,concept:synonymfor
15916,624,9,concept:atdate
60229,60498,376,concept:politicianusholdsoffice_inv
1708,51674,138,concept:professionusestool_inv
18789,637,9,concept:atdate
45515,45516,311,concept:academicprogramatuniversity
63282,63284,43,concept:agentcreated
23950,23951,39,concept:bodypartcontainsbodypart
1323,50937,38,concept:agentcontrols_inv
699,27683,50,concept:personborninlocation_inv
59174,59171,373,concept:politicianusendorsedbypoliticianus
699,8582,50,concept:personborninlocation_inv
620,14196,10,concept:atdate_inv
42245,46750,304,concept:hobbiessuchashobbies_inv
14585,68971,1,concept:worksfor
2672,14659,380,concept:fatherofperson_inv
14980,1273,5,concept:agentcompeteswithagent
45469,15386,311,concept:academicprogramatuniversity
60172,4084,183,concept:athletehomestadium
9325,9333,167,concept:foodcancausedisease
72907,72745,389,concept:automakerproducesmodel
51969,52039,247,concept:clothingtogowithclothing
9335,57708,328,concept:drughassideeffect_inv
6861,752,31,concept:organizationhiredperson
44104,43508,44,concept:agentcreated_inv
73544,1128,395,concept:bankbankincountry
58401,1061,357,concept:furniturefoundinroom
8475,10819,8,concept:subpartof_inv
625,22224,10,concept:atdate_inv
39686,39688,237,concept:teamplaysagainstteam
29485,4078,179,concept:teamplaysinleague
26308,574,13,concept:agentparticipatedinevent
805,18578,8,concept:subpartof_inv
7156,4468,24,concept:atlocation_inv
5423,10590,278,concept:statelocatedingeopoliticallocation_inv
49753,73825,336,concept:musicartistgenre_inv
43911,42696,44,concept:agentcreated_inv
1846,3960,108,concept:competeswith_inv
31629,38690,212,concept:cityliesonriver_inv
59638,39525,157,concept:athleteplaysforteam
1935,39409,237,concept:teamplaysagainstteam
48408,6831,196,concept:animalsuchasinsect_inv
14376,717,9,concept:atdate
27025,49132,349,concept:fishservedwithfood
73351,5160,395,concept:bankbankincountry
645,10604,10,concept:atdate_inv
1720,11640,16,concept:mutualproxyfor_inv
576,10904,23,concept:atlocation
47380,47379,256,concept:bacteriaisthecausativeagentofphysiologicalcondition_inv
27963,41679,292,concept:radiostationincity_inv
69550,413,1,concept:worksfor
49171,48471,231,concept:agriculturalproductcookedwithagriculturalproduct
62871,745,61,concept:persongraduatedschool
27321,39654,237,concept:teamplaysagainstteam
51964,51970,247,concept:clothingtogowithclothing
21767,744,59,concept:persongraduatedfromuniversity
53110,53717,366,concept:weaponssuchasweapons_inv
39464,35218,245,concept:teamhomestadium
3599,3418,279,concept:stateorprovinceisborderedbystateorprovince
37532,4163,23,concept:atlocation
12567,12565,44,concept:agentcreated_inv
46516,46650,322,concept:emotionassociatedwithdisease_inv
36095,27330,17,concept:locationlocatedwithinlocation
28986,564,15,concept:mutualproxyfor
25762,25761,26,concept:agentcollaborateswithagent_inv
718,75279,8,concept:subpartof_inv
43054,63991,97,concept:agentcontributedtocreativework
1014,3970,5,concept:agentcompeteswithagent
35725,4798,239,concept:stadiumlocatedincity
61342,64953,385,concept:athletebeatathlete
1444,8760,9,concept:atdate
41660,4510,83,concept:organizationheadquarteredincity
7277,7279,43,concept:agentcreated
56752,2569,33,concept:objectfoundinscene
5191,717,9,concept:atdate
201,41,96,concept:subpartoforganization_inv
27698,27699,43,concept:agentcreated
4402,42553,300,concept:sportfansincountry_inv
660,659,38,concept:agentcontrols_inv
2204,39490,264,concept:teamwontrophy_inv
51006,934,91,concept:organizationheadquarteredincountry
6490,543,25,concept:agentcollaborateswithagent
74109,74110,11,concept:latitudelongitude
24682,6158,25,concept:agentcollaborateswithagent
3934,13217,326,concept:sportsgameteam_inv
72392,1895,83,concept:organizationheadquarteredincity
10643,3135,116,concept:hasofficeincountry_inv
28975,73610,170,concept:hasofficeincity_inv
55428,22315,143,concept:thinghascolor
13967,3968,107,concept:competeswith
744,45661,312,concept:academicprogramatuniversity_inv
858,6661,10,concept:atdate_inv
8502,699,49,concept:personborninlocation
1895,41633,84,concept:organizationheadquarteredincity_inv
37719,37982,212,concept:cityliesonriver_inv
43587,42915,309,concept:bookwriter
22183,699,49,concept:personborninlocation
15301,699,47,concept:personbornincity
70408,18175,217,concept:journalistwritesforpublication
20390,9336,167,concept:foodcancausedisease
5183,5214,193,concept:countryalsoknownas
42947,42949,309,concept:bookwriter
14739,4078,179,concept:teamplaysinleague
24503,24505,28,concept:personleadsorganization_inv
49550,2893,195,concept:animalsuchasinsect
51334,51335,135,concept:professionistypeofprofession
51624,29182,135,concept:professionistypeofprofession
30644,234,267,concept:televisionstationaffiliatedwith
570,28715,10,concept:atdate_inv
3639,5771,165,concept:animalsuchasinvertebrate
55522,55523,355,concept:buildingfeaturemadefrombuildingmaterial
281,11542,237,concept:teamplaysagainstteam
870,26290,4,concept:proxyfor_inv
15384,7937,31,concept:organizationhiredperson
5484,5485,73,concept:organizationterminatedperson
5697,5700,31,concept:organizationhiredperson
45435,45464,316,concept:academicfieldsuchasacademicfield_inv
66747,20853,155,concept:athleteplayssport
1974,3729,4,concept:proxyfor_inv
69064,59275,383,concept:visualartistartform
34030,71956,170,concept:hasofficeincity_inv
52035,52029,247,concept:clothingtogowithclothing
2843,2842,12,concept:latitudelongitude_inv
54148,53110,365,concept:weaponssuchasweapons
32699,39348,287,concept:countrycurrency
43458,43457,43,concept:agentcreated
4447,31501,211,concept:cityliesonriver
53110,53407,366,concept:weaponssuchasweapons_inv
23252,22892,2,concept:worksfor_inv
365,4788,4,concept:proxyfor_inv
6344,27308,199,concept:arthropodcalledarthropod
18940,32746,288,concept:countrycurrency_inv
59180,12038,376,concept:politicianusholdsoffice_inv
2136,1068,9,concept:atdate
11562,5150,23,concept:atlocation
29996,30915,96,concept:subpartoforganization_inv
4079,65437,156,concept:athleteplayssport_inv
636,6290,10,concept:atdate_inv
74894,74895,69,concept:thinghasshape
746,4568,122,concept:citylocatedinstate_inv
965,10288,22,concept:companyeconomicsector_inv
4643,16622,52,concept:agentactsinlocation_inv
47556,1766,123,concept:headquarteredin
10676,752,2,concept:worksfor_inv
857,21077,10,concept:atdate_inv
4398,4622,169,concept:hasofficeincity
2448,1910,40,concept:bodypartcontainsbodypart_inv
56002,56003,30,concept:topmemberoforganization_inv
15671,66890,156,concept:athleteplayssport_inv
1362,74624,10,concept:atdate_inv
28584,718,7,concept:subpartof
11611,73395,108,concept:competeswith_inv
5423,4932,24,concept:atlocation_inv
570,5935,10,concept:atdate_inv
53110,54105,366,concept:weaponssuchasweapons_inv
72849,681,44,concept:agentcreated_inv
3238,3235,82,concept:animalsuchasfish_inv
20853,66555,156,concept:athleteplayssport_inv
75099,75098,12,concept:latitudelongitude_inv
65098,35650,183,concept:athletehomestadium
170,30355,96,concept:subpartoforganization_inv
15645,15643,20,concept:animaldevelopdisease_inv
39497,13217,326,concept:sportsgameteam_inv
24534,8759,9,concept:atdate
448,5080,18,concept:locationlocatedwithinlocation_inv
16056,16057,43,concept:agentcreated
4728,41678,292,concept:radiostationincity_inv
49842,49893,250,concept:chemicalistypeofchemical_inv
57667,47528,104,concept:acquired_inv
74725,8055,44,concept:agentcreated_inv
22912,16622,52,concept:agentactsinlocation_inv
8172,1444,87,concept:synonymfor
6690,17128,7,concept:subpartof
38166,31556,211,concept:cityliesonriver
10226,28049,93,concept:animaleatfood
381,574,13,concept:agentparticipatedinevent
19562,55890,110,concept:itemfoundinroom_inv
8097,39936,238,concept:teamplaysagainstteam_inv
54402,17433,348,concept:agriculturalproductgrowninlandscapefeatures_inv
746,5147,15,concept:mutualproxyfor
27905,27906,265,concept:cityalsoknownas
48376,48883,343,concept:mammalsuchasmammal
53110,53835,366,concept:weaponssuchasweapons_inv
4398,5159,115,concept:hasofficeincountry
9061,49494,166,concept:animalsuchasinvertebrate_inv
72437,965,21,concept:companyeconomicsector
49512,14995,198,concept:arthropodandotherarthropod_inv
15862,39495,237,concept:teamplaysagainstteam
33812,33811,12,concept:latitudelongitude_inv
5214,4398,116,concept:hasofficeincountry_inv
1208,10905,17,concept:locationlocatedwithinlocation
48537,48525,20,concept:animaldevelopdisease_inv
64270,16069,43,concept:agentcreated
54163,51969,247,concept:clothingtogowithclothing
12534,12535,11,concept:latitudelongitude
54943,52909,231,concept:agriculturalproductcookedwithagriculturalproduct
6907,636,9,concept:atdate
570,14964,10,concept:atdate_inv
895,15938,44,concept:agentcreated_inv
7010,9127,118,concept:fooddecreasestheriskofdisease_inv
21600,2430,40,concept:bodypartcontainsbodypart_inv
22780,3549,7,concept:subpartof
9409,9364,25,concept:agentcollaborateswithagent
27670,3303,17,concept:locationlocatedwithinlocation
25630,1362,9,concept:atdate
68780,59180,375,concept:politicianusholdsoffice
68722,241,377,concept:politicianusmemberofpoliticalgroup
4192,13154,8,concept:subpartof_inv
73520,5165,395,concept:bankbankincountry
31425,31426,241,concept:riveremptiesintoriver
52085,51970,247,concept:clothingtogowithclothing
45342,45361,313,concept:academicfieldconcernssubject
66878,26,159,concept:athleteplaysinleague
39827,40171,263,concept:teamwontrophy
17433,10449,347,concept:agriculturalproductgrowninlandscapefeatures
52517,52675,109,concept:itemfoundinroom
3,419,8,concept:subpartof_inv
574,72251,14,concept:agentparticipatedinevent_inv
61776,61777,189,concept:musicianinmusicartist
4078,29467,180,concept:teamplaysinleague_inv
1524,31989,272,concept:parkincity_inv
43523,43638,310,concept:bookwriter_inv
2579,2605,43,concept:agentcreated
43620,43619,310,concept:bookwriter_inv
5206,624,9,concept:atdate
2876,51549,135,concept:professionistypeofprofession
36467,5129,212,concept:cityliesonriver_inv
691,35882,16,concept:mutualproxyfor_inv
50949,752,2,concept:worksfor_inv
51513,51373,136,concept:professionistypeofprofession_inv
58571,2190,109,concept:itemfoundinroom
10819,11861,7,concept:subpartof
4904,40512,178,concept:teamplaysincity_inv
65391,20853,155,concept:athleteplayssport
2690,13649,10,concept:atdate_inv
71975,71974,106,concept:companyalsoknownas_inv
48376,834,78,concept:animalpreyson_inv
47878,47852,338,concept:plantincludeplant_inv
857,10786,10,concept:atdate_inv
48342,48373,76,concept:animalistypeofanimal_inv
34903,34902,12,concept:latitudelongitude_inv
1911,26720,24,concept:atlocation_inv
7817,3508,23,concept:atlocation
28498,43257,309,concept:bookwriter
10181,39887,237,concept:teamplaysagainstteam
46499,15644,321,concept:emotionassociatedwithdisease
39599,4325,177,concept:teamplaysincity
625,9789,10,concept:atdate_inv
3563,3564,15,concept:mutualproxyfor
51759,1708,137,concept:professionusestool
74343,691,3,concept:proxyfor
3508,46381,318,concept:languageofcountry_inv
25124,25125,11,concept:latitudelongitude
622,75344,34,concept:objectfoundinscene_inv
5981,13852,108,concept:competeswith_inv
70440,60731,217,concept:journalistwritesforpublication
1749,13870,10,concept:atdate_inv
59175,68061,374,concept:politicianusendorsedbypoliticianus_inv
48657,48525,20,concept:animaldevelopdisease_inv
23426,23425,44,concept:agentcreated_inv
59275,69666,384,concept:visualartistartform_inv
36349,32918,23,concept:atlocation
996,68042,376,concept:politicianusholdsoffice_inv
8091,8099,237,concept:teamplaysagainstteam
625,15097,10,concept:atdate_inv
38564,31647,211,concept:cityliesonriver
41342,816,71,concept:touristattractionsuchastouristattraction
1546,10590,278,concept:statelocatedingeopoliticallocation_inv
2026,13261,107,concept:competeswith
36157,5245,17,concept:locationlocatedwithinlocation
22762,7328,237,concept:teamplaysagainstteam
60792,60391,100,concept:personhasjobposition_inv
7323,20395,93,concept:animaleatfood
34559,34560,89,concept:buildinglocatedincity
744,75114,60,concept:persongraduatedfromuniversity_inv
47931,48252,341,concept:plantrepresentemotion
31495,31556,242,concept:riveremptiesintoriver_inv
53110,53210,366,concept:weaponssuchasweapons_inv
12531,59407,375,concept:politicianusholdsoffice
3622,48342,75,concept:animalistypeofanimal
54888,48930,345,concept:agriculturalproductincludingagriculturalproduct
39454,60408,186,concept:athleteledsportsteam_inv
7769,5229,286,concept:countrylocatedingeopoliticallocation_inv
1354,5264,10,concept:atdate_inv
71675,4290,101,concept:politicianholdsoffice
634,1123,213,concept:citylocatedincountry
7379,7380,25,concept:agentcollaborateswithagent
15054,10127,1,concept:worksfor
170,17391,108,concept:competeswith_inv
26,277,399,concept:agentbelongstoorganization_inv
57642,9335,327,concept:drughassideeffect
37710,3418,23,concept:atlocation
39513,29432,237,concept:teamplaysagainstteam
2941,1035,13,concept:agentparticipatedinevent
583,25805,10,concept:atdate_inv
4212,859,9,concept:atdate
8097,64931,158,concept:athleteplaysforteam_inv
29996,30360,96,concept:subpartoforganization_inv
52517,52678,109,concept:itemfoundinroom
570,22379,10,concept:atdate_inv
10433,1208,18,concept:locationlocatedwithinlocation_inv
10616,35979,18,concept:locationlocatedwithinlocation_inv
62069,1531,127,concept:musicianplaysinstrument
51465,51472,135,concept:professionistypeofprofession
625,12113,10,concept:atdate_inv
23316,3200,78,concept:animalpreyson_inv
1710,4455,15,concept:mutualproxyfor
1561,1454,10,concept:atdate_inv
25684,61678,336,concept:musicartistgenre_inv
11035,3359,8,concept:subpartof_inv
69763,59275,383,concept:visualartistartform
9364,9437,26,concept:agentcollaborateswithagent_inv
3434,620,9,concept:atdate
70954,3106,97,concept:agentcontributedtocreativework
857,448,10,concept:atdate_inv
54428,50121,351,concept:agriculturalproductcontainchemical
1696,8621,96,concept:subpartoforganization_inv
70342,4494,217,concept:journalistwritesforpublication
4300,4299,12,concept:latitudelongitude_inv
8929,8932,134,concept:personalsoknownas_inv
74805,691,15,concept:mutualproxyfor
29423,1684,25,concept:agentcollaborateswithagent
52029,52039,247,concept:clothingtogowithclothing
76,537,18,concept:locationlocatedwithinlocation_inv
